"","NOC","Medal","Year","Sport","Event","City"
"14254","FRA","Bronze",1976,"Fencing","Fencing Men's Foil, Individual","Montreal"
"14255","URS","Bronze",1968,"Athletics","Athletics Women's Long Jump","Mexico City"
"14256","ITA","Gold",1928,"Boxing","Boxing Men's Bantamweight","Amsterdam"
"14257","GRE","Silver",2000,"Gymnastics","Gymnastics Men's Rings","Sydney"
"14258","GRE","Gold",2004,"Gymnastics","Gymnastics Men's Rings","Athina"
"14259","AUS","Bronze",2016,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Rio de Janeiro"
"14260","URS","Bronze",1980,"Athletics","Athletics Men's Hammer Throw","Moskva"
"14261","URS","Bronze",1988,"Athletics","Athletics Men's Hammer Throw","Seoul"
"14262","EST","Bronze",1924,"Weightlifting","Weightlifting Men's Heavyweight","Paris"
"14263","EST","Bronze",2004,"Athletics","Athletics Men's Discus Throw","Athina"
"14264","FIN","Silver",1920,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Antwerpen"
