"","NOC","Medal","Year","Sport","Event","City"
"323","FRA","Bronze",1920,"Tennis","Tennis Men's Doubles","Antwerpen"
"324","RUS","Bronze",2012,"Weightlifting","Weightlifting Men's Super-Heavyweight","London"
"325","ESP","Silver",2000,"Football","Football Men's Football","Sydney"
"326","FRG","Bronze",1984,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Los Angeles"
"327","ITA","Silver",1976,"Water Polo","Water Polo Men's Water Polo","Montreal"
"328","FRA","Silver",1900,"Sailing","Sailing Mixed 1-2 Ton","Paris"
"329","FRA","Bronze",1900,"Sailing","Sailing Mixed 1-2 Ton","Paris"
"330","HUN","Bronze",1960,"Football","Football Men's Football","Roma"
"331","DEN","Gold",1920,"Gymnastics","Gymnastics Men's Team All-Around, Free System","Antwerpen"
"332","SWE","Bronze",1948,"Athletics","Athletics Men's 10,000 metres","London"
"333","ITA","Bronze",1968,"Rowing","Rowing Men's Coxless Fours","Mexico City"
"334","RUS","Gold",2008,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Beijing"
"335","SUI","Bronze",1924,"Rowing","Rowing Men's Coxless Fours","Paris"
"336","SUI","Gold",1924,"Rowing","Rowing Men's Coxed Fours","Paris"
"337","SWE","Gold",1976,"Sailing","Sailing Mixed Two Person Keelboat","Montreal"
"338","USA","Silver",1936,"Athletics","Athletics Men's High Jump","Berlin"
"339","URS","Bronze",1960,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Roma"
"340","BRA","Bronze",1996,"Football","Football Men's Football","Atlanta"
"341","CUB","Silver",1976,"Boxing","Boxing Men's Light-Welterweight","Montreal"
"342","CUB","Gold",1980,"Boxing","Boxing Men's Welterweight","Moskva"
"343","GBR","Silver",1920,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Antwerpen"
"344","GBR","Silver",1920,"Cycling","Cycling Men's 50 kilometres","Antwerpen"
"345","GBR","Silver",1924,"Cycling","Cycling Men's 50 kilometres","Paris"
"346","USA","Gold",1928,"Athletics","Athletics Men's 4 x 400 metres Relay","Amsterdam"
"347","USA","Bronze",1952,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Helsinki"
"348","ESP","Silver",2008,"Hockey","Hockey Men's Hockey","Beijing"
"349","NZL","Gold",2012,"Sailing","Sailing Women's Two Person Dinghy","London"
"350","NZL","Silver",2016,"Sailing","Sailing Women's Two Person Dinghy","Rio de Janeiro"
"351","LTU","Gold",2000,"Athletics","Athletics Men's Discus Throw","Sydney"
"352","LTU","Gold",2004,"Athletics","Athletics Men's Discus Throw","Athina"
"353","LTU","Bronze",2008,"Athletics","Athletics Men's Discus Throw","Beijing"
"354","BUL","Silver",1980,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Moskva"
"355","URS","Silver",1976,"Rowing","Rowing Women's Coxed Quadruple Sculls","Montreal"
"356","URS","Gold",1980,"Rowing","Rowing Women's Double Sculls","Moskva"
"357","ARM","Bronze",2012,"Wrestling","Wrestling Men's Heavyweight, Greco-Roman","London"
"358","ARM","Gold",2016,"Wrestling","Wrestling Men's Heavyweight, Greco-Roman","Rio de Janeiro"
"359","URS","Gold",1972,"Weightlifting","Weightlifting Men's Super-Heavyweight","Munich"
"360","URS","Gold",1976,"Weightlifting","Weightlifting Men's Super-Heavyweight","Montreal"
"361","URS","Bronze",1964,"Diving","Diving Women's Platform","Tokyo"
"362","SRB","Bronze",2012,"Water Polo","Water Polo Men's Water Polo","London"
"363","SRB","Gold",2016,"Water Polo","Water Polo Men's Water Polo","Rio de Janeiro"
"364","USA","Bronze",1932,"Fencing","Fencing Men's Foil, Team","Los Angeles"
"365","GER","Silver",1932,"Rowing","Rowing Men's Coxless Fours","Los Angeles"
"366","BRA","Silver",2012,"Football","Football Men's Football","London"
"367","GBR","Silver",1908,"Lacrosse","Lacrosse Men's Lacrosse","London"
"368","CAN","Silver",1996,"Synchronized Swimming","Synchronized Swimming Women's Team","Atlanta"
"369","GBR","Silver",1960,"Fencing","Fencing Men's epee, Team","Roma"
"370","CAN","Bronze",2000,"Rowing","Rowing Women's Coxed Eights","Sydney"
"371","FRA","Bronze",1984,"Judo","Judo Men's Half-Lightweight","Los Angeles"
"372","FRA","Gold",1988,"Judo","Judo Men's Lightweight","Seoul"
"373","BRA","Bronze",2008,"Football","Football Men's Football","Beijing"
"374","ROU","Silver",1980,"Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Moskva"
"375","ROU","Silver",1972,"Boxing","Boxing Men's Heavyweight","Munich"
"376","URS","Bronze",1976,"Diving","Diving Men's Platform","Montreal"
"377","URS","Silver",1980,"Diving","Diving Men's Platform","Moskva"
"378","RUS","Bronze",2000,"Shooting","Shooting Men's Air Rifle, 10 metres","Sydney"
"379","NIG","Silver",2016,"Taekwondo","Taekwondo Men's Heavyweight","Rio de Janeiro"
"380","URS","Bronze",1976,"Athletics","Athletics Women's Long Jump","Montreal"
"381","USA","Gold",1984,"Basketball","Basketball Men's Basketball","Los Angeles"
"382","SWE","Bronze",1924,"Football","Football Men's Football","Paris"
"383","FIN","Bronze",1912,"Sailing","Sailing Mixed 12 metres","Stockholm"
"384","BRA","Bronze",1948,"Basketball","Basketball Men's Basketball","London"
"385","BRA","Bronze",1960,"Basketball","Basketball Men's Basketball","Roma"
"386","SWE","Silver",2012,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","London"
"387","USA","Silver",2016,"Athletics","Athletics Women's 100 metres Hurdles","Rio de Janeiro"
"388","IND","Gold",1928,"Hockey","Hockey Men's Hockey","Amsterdam"
"389","IND","Gold",1964,"Hockey","Hockey Men's Hockey","Tokyo"
"390","FRA","Silver",1920,"Athletics","Athletics Men's 4 x 100 metres Relay","Antwerpen"
"391","IRI","Silver",1972,"Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Munich"
"392","FRA","Gold",1908,"Fencing","Fencing Men's epee, Individual","London"
"393","FRA","Gold",1908,"Fencing","Fencing Men's epee, Team","London"
"394","RUS","Gold",2000,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Sydney"
"395","RUS","Bronze",2004,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Athina"
"396","CRO","Bronze",2012,"Handball","Handball Men's Handball","London"
"397","BRA","Silver",2004,"Football","Football Women's Football","Athina"
"398","RUS","Gold",2004,"Shooting","Shooting Men's Trap","Athina"
"399","RUS","Bronze",2008,"Shooting","Shooting Men's Trap","Beijing"
"400","GRE","Gold",1906,"Gymnastics","Gymnastics Men's Rope Climbing","Athina"
"401","BRA","Silver",2012,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","London"
"402","BRA","Gold",2016,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","Rio de Janeiro"
"403","NGR","Bronze",2004,"Athletics","Athletics Men's 4 x 100 metres Relay","Athina"
"404","RUS","Gold",2008,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group","Beijing"
"405","IRI","Bronze",2016,"Taekwondo","Taekwondo Women's Featherweight","Rio de Janeiro"
"406","BEL","Silver",1920,"Archery","Archery Men's Target Archery, 28 metres, Team","Antwerpen"
"407","BEL","Gold",1920,"Archery","Archery Men's Target Archery, 33 metres, Team","Antwerpen"
"408","BEL","Gold",1920,"Archery","Archery Men's Target Archery, 50 metres, Team","Antwerpen"
"409","ALG","Bronze",2000,"Boxing","Boxing Men's Light-Welterweight","Sydney"
"410","GBR","Bronze",1984,"Sailing","Sailing Mixed Two Person Heavyweight Dinghy","Los Angeles"
"411","GBR","Bronze",1984,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Los Angeles"
"412","GBR","Silver",1988,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Seoul"
"413","FRA","Silver",1900,"Football","Football Men's Football","Paris"
"414","USA","Gold",1972,"Sailing","Sailing Mixed Three Person Keelboat","Munich"
"415","USA","Bronze",1996,"Baseball","Baseball Men's Baseball","Atlanta"
"416","AUT","Gold",2004,"Triathlon","Triathlon Women's Olympic Distance","Athina"
"417","AUS","Gold",2000,"Hockey","Hockey Women's Hockey","Sydney"
"418","JAM","Silver",2016,"Athletics","Athletics Men's 4 x 400 metres Relay","Rio de Janeiro"
"419","IND","Gold",1932,"Hockey","Hockey Men's Hockey","Los Angeles"
"420","IND","Gold",1936,"Hockey","Hockey Men's Hockey","Berlin"
"421","USA","Bronze",1920,"Polo","Polo Men's Polo","Antwerpen"
"422","USA","Bronze",2008,"Rowing","Rowing Men's Coxed Eights","Beijing"
"423","AUS","Bronze",2000,"Softball","Softball Women's Softball","Sydney"
"424","AUS","Silver",2004,"Softball","Softball Women's Softball","Athina"
"425","AUS","Bronze",2008,"Softball","Softball Women's Softball","Beijing"
"426","GBR","Bronze",2000,"Modern Pentathlon","Modern Pentathlon Women's Individual","Sydney"
"427","NOR","Gold",1920,"Sailing","Sailing Mixed 12 metres","Antwerpen"
"428","DEN","Gold",1912,"Rowing","Rowing Men's Coxed Fours, Inriggers","Stockholm"
"429","TTO","Bronze",2012,"Athletics","Athletics Men's 4 x 400 metres Relay","London"
"430","GBR","Silver",1968,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Mexico City"
"431","GBR","Gold",1968,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Mexico City"
"432","GBR","Silver",1908,"Hockey","Hockey Men's Hockey","London"
"433","ITA","Gold",1920,"Fencing","Fencing Men's epee, Team","Antwerpen"
"434","USA","Gold",1964,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Tokyo"
"435","ITA","Gold",2004,"Water Polo","Water Polo Women's Water Polo","Athina"
"436","SWE","Bronze",1920,"Athletics","Athletics Men's Cross-Country, Team","Antwerpen"
"437","ARG","Silver",1996,"Football","Football Men's Football","Atlanta"
"438","SWE","Silver",1936,"Fencing","Fencing Men's epee, Team","Berlin"
"439","CAN","Bronze",1904,"Lacrosse","Lacrosse Men's Lacrosse","St. Louis"
"440","SWE","Silver",1952,"Sailing","Sailing Mixed Three Person Keelboat","Helsinki"
"441","SWE","Bronze",1912,"Athletics","Athletics Men's Triple Jump","Stockholm"
"442","SWE","Bronze",1920,"Athletics","Athletics Men's Triple Jump","Antwerpen"
"443","SWE","Silver",1920,"Sailing","Sailing Mixed 40 metres","Antwerpen"
"444","SWE","Bronze",1948,"Athletics","Athletics Men's 4 x 400 metres Relay","London"
"445","RUS","Bronze",2012,"Boxing","Boxing Men's Flyweight","London"
"446","NGR","Silver",2000,"Athletics","Athletics Women's 100 metres Hurdles","Sydney"
"447","SWE","Silver",2000,"Swimming","Swimming Women's 50 metres Freestyle","Sydney"
"448","SWE","Silver",2000,"Swimming","Swimming Women's 100 metres Freestyle","Sydney"
"449","SWE","Bronze",2000,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Sydney"
"450","URS","Silver",1988,"Fencing","Fencing Men's Sabre, Team","Seoul"
"451","NOR","Gold",2012,"Handball","Handball Women's Handball","London"
"452","NOR","Bronze",2016,"Handball","Handball Women's Handball","Rio de Janeiro"
"453","GER","Bronze",2008,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Beijing"
"454","GER","Silver",1992,"Rowing","Rowing Women's Coxless Pairs","Barcelona"
"455","ITA","Bronze",1912,"Athletics","Athletics Men's 10 kilometres Walk","Stockholm"
"456","CHI","Bronze",2000,"Football","Football Men's Football","Sydney"
"457","ESP","Gold",1928,"Equestrianism","Equestrianism Men's Jumping, Team","Amsterdam"
"458","CUB","Bronze",1972,"Basketball","Basketball Men's Basketball","Munich"
"459","CUB","Bronze",2012,"Boxing","Boxing Men's Bantamweight","London"
"460","CUB","Bronze",2016,"Boxing","Boxing Men's Lightweight","Rio de Janeiro"
"461","COL","Bronze",2012,"Judo","Judo Women's Middleweight","London"
"462","COL","Silver",2016,"Judo","Judo Women's Middleweight","Rio de Janeiro"
"463","BRA","Silver",2012,"Volleyball","Volleyball Men's Volleyball","London"
"464","ITA","Bronze",1920,"Equestrianism","Equestrianism Men's Jumping, Team","Antwerpen"
"465","ITA","Bronze",1924,"Equestrianism","Equestrianism Men's Three-Day Event, Team","Paris"
"466","EGY","Silver",2004,"Boxing","Boxing Men's Super-Heavyweight","Athina"
"467","URS","Gold",1980,"Fencing","Fencing Men's Sabre, Team","Moskva"
"468","RUS","Bronze",2000,"Gymnastics","Gymnastics Men's Team All-Around","Sydney"
"469","LUX","Silver",1920,"Weightlifting","Weightlifting Men's Heavyweight","Antwerpen"
"470","USA","Silver",1904,"Rowing","Rowing Men's Coxless Fours","St. Louis"
"471","ROU","Bronze",1996,"Gymnastics","Gymnastics Women's Individual All-Around","Atlanta"
"472","ROU","Bronze",1996,"Gymnastics","Gymnastics Women's Team All-Around","Atlanta"
"473","ROU","Silver",1996,"Gymnastics","Gymnastics Women's Floor Exercise","Atlanta"
"474","ROU","Gold",1996,"Gymnastics","Gymnastics Women's Horse Vault","Atlanta"
"475","ROU","Gold",2000,"Gymnastics","Gymnastics Women's Individual All-Around","Sydney"
"476","ROU","Gold",2000,"Gymnastics","Gymnastics Women's Team All-Around","Sydney"
"477","ROU","Bronze",2000,"Gymnastics","Gymnastics Women's Floor Exercise","Sydney"
"478","GER","Gold",1928,"Water Polo","Water Polo Men's Water Polo","Amsterdam"
"479","ITA","Bronze",2004,"Rowing","Rowing Men's Lightweight Coxless Fours","Athina"
"480","GHA","Bronze",1972,"Boxing","Boxing Men's Middleweight","Munich"
"481","ESP","Silver",1996,"Hockey","Hockey Men's Hockey","Atlanta"
"482","FRA","Bronze",1996,"Shooting","Shooting Men's Air Rifle, 10 metres","Atlanta"
"483","FRA","Gold",1996,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Atlanta"
"484","ESP","Silver",1980,"Hockey","Hockey Men's Hockey","Moskva"
"485","ESP","Bronze",1960,"Hockey","Hockey Men's Hockey","Roma"
"486","ESP","Bronze",1932,"Sailing","Sailing Mixed One Person Dinghy","Los Angeles"
"487","ARG","Bronze",2000,"Sailing","Sailing Women's One Person Dinghy","Sydney"
"488","BRA","Silver",1984,"Volleyball","Volleyball Men's Volleyball","Los Angeles"
"489","BRA","Gold",1992,"Volleyball","Volleyball Men's Volleyball","Barcelona"
"490","BRA","Bronze",1964,"Basketball","Basketball Men's Basketball","Tokyo"
"491","ITA","Gold",1960,"Water Polo","Water Polo Men's Water Polo","Roma"
"492","ITA","Silver",1928,"Gymnastics","Gymnastics Women's Team All-Around","Amsterdam"
"493","USA","Gold",2000,"Softball","Softball Women's Softball","Sydney"
"494","ITA","Bronze",1920,"Athletics","Athletics Men's 3,000 metres Steeplechase","Antwerpen"
"495","HUN","Gold",1964,"Water Polo","Water Polo Men's Water Polo","Tokyo"
"496","SWE","Bronze",1948,"Sailing","Sailing Mixed 6 metres","London"
"497","GDR","Gold",1972,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Munich"
"498","URS","Silver",1952,"Rowing","Rowing Men's Coxed Eights","Helsinki"
"499","USA","Gold",1964,"Rowing","Rowing Men's Coxed Eights","Tokyo"
"500","GER","Bronze",1900,"Rowing","Rowing Men's Coxed Fours","Paris"
"501","FRG","Silver",1976,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Montreal"
"502","NGR","Gold",1996,"Football","Football Men's Football","Atlanta"
"503","GBR","Gold",1908,"Shooting","Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team","London"
"504","GBR","Bronze",1908,"Shooting","Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards","London"
"505","AUS","Bronze",1964,"Athletics","Athletics Women's 400 metres","Tokyo"
"506","BOT","Silver",2012,"Athletics","Athletics Men's 800 metres","London"
"507","SUI","Bronze",1920,"Shooting","Shooting Men's Military Pistol, Team","Antwerpen"
"508","SUI","Bronze",1920,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres, Team","Antwerpen"
"509","ARM","Bronze",2008,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","Beijing"
"510","GBR","Silver",1908,"Fencing","Fencing Men's epee, Team","London"
"511","GDR","Gold",1988,"Cycling","Cycling Men's 100 kilometres Team Time Trial","Seoul"
"512","GER","Silver",1900,"Rugby","Rugby Men's Rugby","Paris"
"513","TUN","Bronze",2016,"Wrestling","Wrestling Women's Lightweight, Freestyle","Rio de Janeiro"
"514","FRA","Silver",1920,"Fencing","Fencing Men's Foil, Team","Antwerpen"
"515","FRA","Bronze",1920,"Fencing","Fencing Men's epee, Team","Antwerpen"
"516","FRA","Silver",1928,"Fencing","Fencing Men's epee, Team","Amsterdam"
"517","CAN","Bronze",1976,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Montreal"
"518","NOR","Silver",1908,"Gymnastics","Gymnastics Men's Team All-Around","London"
"519","NOR","Bronze",1912,"Gymnastics","Gymnastics Men's Team All-Around, Swedish System","Stockholm"
"520","NOR","Gold",1968,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Mexico City"
"521","NOR","Bronze",1972,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Munich"
"522","CAN","Gold",1936,"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres","Berlin"
"523","KOR","Silver",2016,"Judo","Judo Men's Half-Lightweight","Rio de Janeiro"
"524","KOR","Gold",1984,"Judo","Judo Men's Lightweight","Los Angeles"
"525","KOR","Bronze",1988,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","Seoul"
"526","KOR","Gold",1992,"Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Barcelona"
"527","KOR","Bronze",1988,"Table Tennis","Table Tennis Men's Doubles","Seoul"
"528","KOR","Bronze",2008,"Handball","Handball Women's Handball","Beijing"
"529","PRK","Silver",2008,"Judo","Judo Women's Half-Lightweight","Beijing"
"530","PRK","Gold",2012,"Judo","Judo Women's Half-Lightweight","London"
"531","KOR","Silver",1984,"Boxing","Boxing Men's Welterweight","Los Angeles"
"532","CHN","Silver",1996,"Softball","Softball Women's Softball","Atlanta"
"533","BRA","Bronze",1996,"Volleyball","Volleyball Women's Volleyball","Atlanta"
"534","BUL","Bronze",1980,"Canoeing","Canoeing Men's Canadian Doubles, 500 metres","Moskva"
"535","BLR","Silver",2000,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group","Sydney"
"536","ITA","Silver",1992,"Cycling","Cycling Men's 100 kilometres Team Time Trial","Barcelona"
"537","YUG","Silver",1980,"Handball","Handball Women's Handball","Moskva"
"538","YUG","Gold",1984,"Handball","Handball Women's Handball","Los Angeles"
"539","CRO","Bronze",2004,"Tennis","Tennis Men's Doubles","Athina"
"540","NED","Silver",1952,"Hockey","Hockey Men's Hockey","Helsinki"
"541","POL","Gold",1972,"Football","Football Men's Football","Munich"
"542","FRA","Gold",2016,"Judo","Judo Women's Heavyweight","Rio de Janeiro"
"543","SWE","Silver",1948,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","London"
"544","SWE","Gold",1952,"Wrestling","Wrestling Men's Lightweight, Freestyle","Helsinki"
"545","USA","Bronze",1984,"Hockey","Hockey Women's Hockey","Los Angeles"
"546","DEN","Gold",1906,"Football","Football Men's Football","Athina"
"547","DEN","Bronze",1908,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","London"
"548","DEN","Gold",1996,"Handball","Handball Women's Handball","Atlanta"
"549","DEN","Bronze",2016,"Rowing","Rowing Women's Coxless Pairs","Rio de Janeiro"
"550","DEN","Bronze",1912,"Gymnastics","Gymnastics Men's Team All-Around, Free System","Stockholm"
"551","DEN","Gold",2000,"Handball","Handball Women's Handball","Sydney"
"552","DEN","Silver",1906,"Gymnastics","Gymnastics Men's Team All-Around","Athina"
"553","NOR","Bronze",1900,"Athletics","Athletics Men's Pole Vault","Paris"
"554","NOR","Gold",1906,"Gymnastics","Gymnastics Men's Team All-Around","Athina"
